date,open,high,low,close,volume,amount,turnover,pct_change
2023-01-03,3.27242124,3.33999336,3.25311492,3.3303402,204666443,698746290.77,0.005612000000000001,2.071
2023-01-04,3.3303402,3.40756548,3.30138072,3.38825916,326049925,1132733354.84,0.00894,1.7391
2023-01-05,3.40756548,3.41721864,3.35929968,3.39791232,310613752,1091322600.51,0.008517,0.2849
2023-01-06,3.39791232,3.5716692,3.378606,3.49444392,667718011,2416053036.55,0.018309,2.8409
2023-01-09,3.50409708,3.54270972,3.4751376,3.5234034,413362136,1502520753.99,0.011335,0.8287
2023-01-10,3.5234034,3.5716692,3.50409708,3.54270972,314770936,1156715917.81,0.008631,0.5479
2023-01-11,3.55236288,3.63924132,3.54270972,3.55236288,426913218,1588240563.68,0.011706000000000001,0.2725
2023-01-12,3.56201604,3.619935,3.53305656,3.60062868,460594250,1708727275.48,0.012629999999999999,1.3587
2023-01-13,3.61028184,3.62958816,3.58132236,3.62958816,319669117,1195626318.79,0.008765,0.8043
2023-01-16,3.619935,3.75507924,3.619935,3.73577292,550290234,2118265090.11,0.015088999999999998,2.9255
2023-01-17,3.72611976,3.80334504,3.72611976,3.7647324,467021211,1821051428.9,0.012806,0.7752
2023-01-18,3.7647324,3.80334504,3.73577292,3.79369188,330606243,1295413726.99,0.009065,0.7692
2023-01-19,3.78403872,3.9095298,3.7647324,3.89987664,592131621,2363802533.16,0.016236,2.799
2023-01-20,3.92883612,3.96744876,3.85161084,3.89022348,441399679,1780348388.16,0.012103,-0.2475
2023-01-30,3.92883612,3.98675508,3.89022348,3.93848928,562858552,2296138909.83,0.015434000000000002,1.2407
2023-01-31,3.89022348,3.89987664,3.8129982,3.84195768,640867469,2555330322.42,0.017573000000000002,-2.451
2023-02-01,3.861264,3.92883612,3.85161084,3.9095298,407487603,1643737194.68,0.011172999999999999,1.7588
2023-02-02,3.9095298,3.92883612,3.861264,3.87091716,303765163,1225490201.27,0.008329,-0.9877
2023-02-03,3.861264,3.89022348,3.8129982,3.87091716,331273641,1320451657.75,0.009084,0.0
2023-02-06,3.85161084,3.91918296,3.83230452,3.89022348,355162498,1429095908.7,0.009739,0.4988
2023-02-07,3.89987664,3.92883612,3.87091716,3.88057032,245750393,992133573.08,0.006739,-0.2481
2023-02-08,3.89022348,3.9095298,3.84195768,3.85161084,227455472,912575400.46,0.006237,-0.7463
2023-02-09,3.85161084,3.9577956,3.84195768,3.94814244,474463968,1929848573.6,0.013009999999999999,2.5063
2023-02-10,3.94814244,3.99640824,3.92883612,3.93848928,305957338,1254844725.64,0.008389,-0.2445
2023-02-13,3.94814244,3.94814244,3.89987664,3.91918296,300686800,1219528182.38,0.008245,-0.4902
2023-02-14,3.91918296,3.94814244,3.89022348,3.91918296,235519136,954029377.69,0.006458,0.0
2023-02-15,3.94814244,4.16051196,3.93848928,4.11224616,940652542,3999435781.06,0.025793,4.9261
2023-02-16,4.14120564,4.17016512,4.01571456,4.03502088,614306242,2611751339.22,0.016845000000000002,-1.8779
2023-02-17,4.03502088,4.07363352,3.9577956,3.96744876,450774855,1868971689.45,0.01236,-1.6746
2023-02-20,3.96744876,4.06398036,3.9577956,4.04467404,396043097,1650228543.06,0.01065,1.9465
2023-02-21,4.04467404,4.12189932,4.04467404,4.08328668,404291789,1710384804.25,0.010870999999999999,0.9547
2023-02-22,4.0543272,4.08328668,3.99640824,4.03502088,324684109,1357037384.24,0.008731,-1.182
2023-02-23,4.04467404,4.06398036,3.99640824,4.01571456,258435895,1076608179.37,0.0069489999999999994,-0.4785
2023-02-24,4.01571456,4.03502088,3.9577956,3.99640824,249651348,1032477877.11,0.006713,-0.4808
2023-02-27,3.97710192,4.02536772,3.96744876,3.96744876,207586800,858492026.96,0.005582,-0.7246
2023-02-28,3.98675508,4.02536772,3.97710192,4.02536772,234034673,970531402.49,0.006293,1.4599
2023-03-01,4.02536772,4.13155248,4.01571456,4.08328668,405045751,1713083507.0,0.010891999999999999,1.4388
2023-03-02,4.08328668,4.12189932,4.07363352,4.08328668,280278874,1189334298.91,0.007537,0.0
2023-03-03,4.11224616,4.11224616,4.06398036,4.08328668,229000902,969386253.13,0.006158,0.0
2023-03-06,4.102593,4.13155248,4.04467404,4.06398036,322041050,1359858284.35,0.00866,-0.4728
2023-03-07,4.14120564,4.21843092,3.96744876,3.97710192,672384395,2848648986.52,0.01808,-2.1378
2023-03-08,3.94814244,3.99640824,3.9095298,3.97710192,322790070,1320353792.46,0.00868,0.0
2023-03-09,3.97710192,4.01571456,3.9577956,3.98675508,179975060,744512012.44,0.00484,0.2427
2023-03-10,3.96744876,3.98675508,3.91918296,3.92883612,235785565,965136808.55,0.00634,-1.4528
2023-03-13,3.91918296,3.96744876,3.89987664,3.9577956,239051779,975091023.07,0.0064280000000000006,0.7371
2023-03-14,3.94814244,3.9577956,3.89022348,3.91918296,248620559,1009496611.68,0.006685,-0.9756
2023-03-15,3.93848928,4.03502088,3.92883612,3.99640824,323651380,1342336594.6,0.008702999999999999,1.9704
2023-03-16,3.98675508,4.02536772,3.93848928,3.94814244,243951955,1006198430.0,0.00656,-1.2077
2023-03-17,4.01571456,4.06398036,3.98675508,4.02536772,376697807,1574214418.6,0.010128999999999999,1.956
2023-03-20,4.0543272,4.09293984,4.04467404,4.08328668,363069097,1533621322.62,0.009762999999999999,1.4388
2023-03-21,4.12189932,4.13155248,4.06398036,4.07363352,240252996,1017493769.35,0.0064600000000000005,-0.2364
2023-03-22,4.09293984,4.20877776,4.08328668,4.20877776,706634085,3050253417.15,0.019001,3.3175
2023-03-23,4.1991246,4.32461568,4.18947144,4.30530936,627122314,2772660282.99,0.016863,2.2936
2023-03-24,4.32461568,4.343922,4.28600304,4.33426884,492801174,2205989230.69,0.013250999999999999,0.6726
2023-03-27,4.33426884,4.38253464,4.17981828,4.25704356,566496736,2505687552.26,0.015233000000000002,-1.7817
2023-03-28,4.25704356,4.26669672,4.16051196,4.17981828,408773264,1774214324.12,0.010992,-1.8141
2023-03-29,4.17016512,4.25704356,4.17016512,4.23773724,308059732,1346615455.02,0.008284,1.3857
2023-03-30,4.23773724,4.2956562,4.17016512,4.27634988,338593302,1488955548.84,0.009105,0.9112
2023-03-31,4.27634988,4.2956562,4.20877776,4.28600304,306349149,1351518772.68,0.008238,0.2257
2023-04-03,4.27634988,4.35357516,4.25704356,4.343922,414427407,1855317190.09,0.011144000000000001,1.3514
2023-04-04,4.33426884,4.36322832,4.2473904,4.27634988,453454899,2012835005.19,0.012193,-1.5556
2023-04-06,4.27634988,4.35357516,4.25704356,4.32461568,400704088,1794621016.54,0.010775,1.1287
2023-04-07,4.35357516,4.37288148,4.27634988,4.31496252,254119625,1133793621.5,0.0068330000000000005,-0.2232
2023-04-10,4.2956562,4.343922,4.1991246,4.22808408,348624956,1542709364.46,0.009375,-2.0134
2023-04-11,4.21843092,4.31496252,4.21843092,4.27634988,303780579,1341366938.01,0.008146,1.1416
2023-04-12,4.25704356,4.35357516,4.22808408,4.33426884,442635324,1979233564.55,0.01187,1.3544
2023-04-13,4.32461568,4.33426884,4.23773724,4.2473904,421961655,1865782348.02,0.011314999999999999,-2.0045
2023-04-14,4.23773724,4.25704356,4.16051196,4.1991246,365077813,1587692023.26,0.00979,-1.1364
2023-04-17,4.20877776,4.23773724,4.16051196,4.20877776,257888395,1122888256.11,0.006916,0.2299
2023-04-18,4.21843092,4.22808408,4.17016512,4.18947144,236501123,1025436808.69,0.0063419999999999995,-0.4587
2023-04-19,4.18947144,4.1991246,4.09293984,4.12189932,325525855,1398597565.14,0.008729,-1.6129
2023-04-20,4.12189932,4.22808408,4.11224616,4.1991246,303074197,1314861820.97,0.008127,1.8735
2023-04-21,4.20877776,4.20877776,4.0060614,4.01571456,535806754,2259738784.17,0.014368,-4.3678
2023-04-24,4.0060614,4.02536772,3.9095298,3.93848928,347664103,1423050087.98,0.009323,-1.9231
2023-04-25,3.93848928,3.94814244,3.84195768,3.88057032,353750927,1423055981.73,0.009486,-1.4706
2023-04-26,3.88057032,3.92883612,3.8129982,3.89022348,298188980,1195347019.76,0.007996,0.2488
2023-04-27,3.88057032,3.9095298,3.84195768,3.85161084,234792390,941472628.21,0.006296,-0.9926
2023-04-28,3.85161084,3.89022348,3.84195768,3.88057032,178784104,716077234.22,0.004794,0.7519
2023-05-04,3.83230452,3.91918296,3.74542608,3.89022348,385499437,1532121184.08,0.010338,0.2488
2023-05-05,3.89022348,3.9095298,3.83230452,3.85161084,243837943,975106054.55,0.0065390000000000005,-0.9926
2023-05-08,3.88057032,3.89022348,3.83230452,3.861264,200904291,802941150.65,0.0053879999999999996,0.2506
2023-05-09,3.88057032,3.98675508,3.84195768,3.9095298,400521629,1628539047.49,0.010741,1.25
2023-05-10,3.89987664,3.9095298,3.83230452,3.85161084,288049923,1152280323.01,0.007724,-1.4815
2023-05-11,3.861264,3.88057032,3.83230452,3.85161084,170130483,679222117.94,0.004562,0.0
2023-05-12,3.84195768,3.85161084,3.77438556,3.78403872,202543434,799072822.93,0.005431,-1.7544
2023-05-15,3.78403872,3.84195768,3.72611976,3.84195768,215074140,844025046.11,0.0057669999999999996,1.5306
2023-05-16,3.84195768,3.85161084,3.8129982,3.83230452,137575576,545697008.47,0.003689,-0.2513
2023-05-17,3.83230452,3.85161084,3.77438556,3.78403872,162055137,639209402.36,0.004346,-1.2594
2023-05-18,3.79369188,3.84195768,3.77438556,3.79369188,170831528,674336599.5,0.004581,0.2551
2023-05-19,3.79369188,3.84195768,3.78403872,3.82265136,138374570,547109991.4,0.003711,0.7634
2023-05-22,3.84195768,3.87091716,3.79369188,3.80334504,162177341,643189323.85,0.0043490000000000004,-0.5051
2023-05-23,3.80334504,3.89987664,3.78403872,3.78403872,334205189,1327073997.54,0.008962,-0.5076
2023-05-24,3.75507924,3.7647324,3.619935,3.619935,415071786,1573289592.38,0.011131,-4.3367
2023-05-25,3.60062868,3.70681344,3.59097552,3.67785396,302951672,1149808587.7,0.008124,1.6
2023-05-26,3.65854764,3.73577292,3.65854764,3.72611976,181086198,694068350.76,0.004856,1.3123
2023-05-29,3.73577292,3.88057032,3.73577292,3.77438556,332174749,1310165900.09,0.008908000000000001,1.2953
2023-05-30,3.7647324,3.8129982,3.7164666,3.80334504,184496446,719552012.63,0.004948,0.7673
2023-05-31,3.79369188,3.861264,3.78403872,3.83230452,243592487,967282629.13,0.006533,0.7614
2023-06-01,3.85161084,3.85161084,3.80334504,3.82265136,186310736,737973955.0,0.004996,-0.2519
2023-06-02,3.82265136,3.85161084,3.8129982,3.84195768,143358517,569915453.26,0.003845,0.5051
2023-06-05,3.84195768,3.96744876,3.82265136,3.88057032,332554429,1343114401.58,0.008918,1.005
2023-06-06,3.87091716,3.88057032,3.78403872,3.79369188,208458118,827753932.76,0.00559,-2.2388
2023-06-07,3.81329698,3.89171954,3.81329698,3.86231108,201301616,792075119.94,0.005397999999999999,1.8088
2023-06-08,3.86231108,3.8721139,3.80349416,3.85250826,184051153,720869984.37,0.004935999999999999,-0.2538
2023-06-09,3.85250826,3.921128,3.83290262,3.921128,312283790,1237342687.39,0.008375,1.7812
2023-06-12,3.90152236,3.94073364,3.88191672,3.88191672,238571214,949364767.3,0.006398,-1.0
2023-06-13,3.88191672,3.921128,3.83290262,3.91132518,307616518,1215045638.69,0.00825,0.7576
2023-06-14,3.91132518,3.97994492,3.90152236,3.95053646,338238305,1361011753.57,0.009071000000000001,1.0025
2023-06-15,3.95053646,3.96033928,3.91132518,3.95053646,219503898,881110028.99,0.005887,0.0
2023-06-16,3.95053646,3.9701421,3.921128,3.96033928,248528639,1000693580.14,0.006665,0.2481
2023-06-19,3.96033928,4.00935338,3.95053646,3.97994492,238195026,967311308.6,0.0063880000000000004,0.495
2023-06-20,3.97994492,3.97994492,3.94073364,3.95053646,186442783,752795092.54,0.005,-0.7389
2023-06-21,3.94073364,3.95053646,3.88191672,3.90152236,238797706,953221284.01,0.006404,-1.2407
2023-06-26,3.88191672,3.95053646,3.83290262,3.91132518,373359285,1489261296.37,0.010013000000000001,0.2513
2023-06-27,3.90152236,3.98974774,3.89171954,3.96033928,305374618,1234075023.62,0.008189,1.2531
2023-06-28,3.9701421,3.97994492,3.90152236,3.921128,261181373,1046278255.79,0.007004,-0.9901
2023-06-29,3.91132518,3.95053646,3.86231108,3.88191672,271570407,1077844053.69,0.0072829999999999995,-1.0
2023-06-30,3.8721139,4.0191562,3.86231108,4.00935338,479406427,1940943868.94,0.012857,3.2828
2023-07-03,4.02895902,4.19560696,4.0191562,4.07797312,505715624,2116086093.64,0.013562000000000001,1.7115
2023-07-04,4.0681703,4.09757876,4.04856466,4.07797312,196770748,816885076.56,0.005277,0.0
2023-07-05,4.0681703,4.10738158,4.03876184,4.05836748,200285642,830978652.65,0.005371,-0.4808
2023-07-06,4.05836748,4.18580414,4.04856466,4.13679004,468667507,1978464582.91,0.012568999999999999,1.9324
2023-07-07,4.18580414,4.25442388,4.15639568,4.23481824,592119858,2547128951.18,0.015879,2.3697
2023-07-10,4.24462106,4.28383234,4.1171844,4.12698722,422076677,1791759755.01,0.011319,-2.5463
2023-07-11,4.13679004,4.18580414,4.12698722,4.17600132,229315832,973445182.37,0.00615,1.1876
2023-07-12,4.17600132,4.24462106,4.15639568,4.17600132,370855722,1591319963.18,0.009946,0.0
2023-07-13,4.17600132,4.22501542,4.17600132,4.19560696,209281337,896276052.86,0.005612000000000001,0.4695
2023-07-14,4.20540978,4.3132408,4.19560696,4.28383234,494836060,2155207465.62,0.013269999999999999,2.1028
2023-07-17,4.2642267,4.34264926,4.24462106,4.28383234,309013772,1347662026.31,0.008287,0.0
2023-07-18,4.27402952,4.28383234,4.2152126,4.24462106,210905217,912661743.49,0.005656,-0.9153
2023-07-19,4.24462106,4.25442388,4.17600132,4.2152126,268873077,1153073942.51,0.0072109999999999995,-0.6928
2023-07-20,4.2152126,4.24462106,4.12698722,4.14659286,246660051,1050643579.5,0.006614999999999999,-1.6279
2023-07-21,4.14659286,4.20540978,4.10738158,4.12698722,255187478,1078419140.34,0.006844,-0.4728
2023-07-24,4.10738158,4.15639568,4.08777594,4.09757876,179785254,755585839.79,0.004821,-0.7126
2023-07-25,4.14659286,4.17600132,4.1171844,4.13679004,258969888,1093056710.48,0.006945,0.9569
2023-07-26,4.12698722,4.13679004,4.04856466,4.08777594,292479783,1216294956.3,0.007844,-1.1848
2023-07-27,4.07797312,4.10738158,4.02895902,4.03876184,226638325,939293192.4,0.006078,-1.199
2023-07-28,4.02895902,4.1171844,4.0191562,4.1171844,290869252,1210803902.78,0.0078000000000000005,1.9417
