date,open,high,low,close,volume,amount,turnover,pct_change
2023-01-03,202.141464,202.43539419,196.84040724,200.92448988,10482036,4056787273.5,0.005286999999999999,-0.9608
2023-01-04,199.3052955,199.563129,197.01057735,198.02128467,19602262,7527791631.36,0.009368,-1.4449
2023-01-05,200.078796,211.51113339,198.53695167,210.13945917,26043260,10371713857.97,0.012445999999999999,6.1196
2023-01-06,209.360802,219.14816166,208.36040802,214.85781222,18392495,7641585134.15,0.00879,2.2453
2023-01-09,218.06526096,218.06526096,213.486138,214.8268722,12840302,5373244035.56,0.006136,-0.0144
2023-01-10,215.37347922,224.315145,213.1251711,222.768144,18260652,7781973489.75,0.008727,3.6966
2023-01-11,221.9946435,224.830812,218.642808,220.63328262,12241806,5252326720.85,0.005849999999999999,-0.9583
2023-01-12,222.768144,226.26436626,221.57179656,223.5416445,11136798,4837460192.57,0.005322,1.3182
2023-01-13,228.956148,233.34963084,221.73681,226.6356465,20757496,9140635813.65,0.00992,1.3841
2023-01-16,226.1199795,231.7923165,224.37186837,230.31235221,16809099,7451169294.71,0.008033,1.6223
2023-01-17,230.46705231,233.01444729,228.75503787,229.78637187,9895801,4416180657.62,0.004729,-0.2284
2023-01-18,231.28180617,232.50393696,228.49720437,231.2766495,7344325,3292955688.46,0.0035099999999999997,0.6485
2023-01-19,229.64198511,232.8236505,228.02279073,230.38454559,7309990,3254123919.04,0.003493,-0.3857
2023-01-20,230.38454559,233.1846174,229.09022142,233.081484,10765650,4841543970.55,0.005144999999999999,1.1706
2023-01-30,247.19528979,252.96560352,241.05885249,242.69867355,21174307,10102385367.36,0.010119,4.1261
2023-01-31,242.30160996,246.2309925,238.46504748,239.8882884,13954034,6565989151.24,0.0066690000000000004,-1.158
2023-02-01,242.87400033,247.19013312,242.61101016,245.8700256,11502167,5464594493.81,0.005496999999999999,2.4936
2023-02-02,246.93745629,247.3654599,239.72327496,240.3523887,13455712,6339908128.47,0.006431,-2.2441
2023-02-03,239.269488,240.4039554,232.76177046,235.2472854,12020001,5495174744.42,0.005744,-2.124
2023-02-06,233.081484,233.86529784,227.45555703,232.3595502,10752918,4811799061.16,0.005139,-1.2275
2023-02-07,232.30282683,234.0096846,229.29648822,231.0703827,7211237,3231274189.8,0.0034460000000000003,-0.5548
2023-02-08,231.8438832,233.82920115,229.471815,230.61143907,7329853,3293742443.57,0.003503,-0.1986
2023-02-09,230.61143907,235.13899533,227.6669805,233.59199433,8031440,3627030215.27,0.003838,1.2925
2023-02-10,233.597151,234.97913856,229.47697167,229.96169865,8397790,3773477538.53,0.004013,-1.5541
2023-02-13,232.55550366,238.01641719,230.50830567,237.20682,13418543,6143224997.15,0.006412999999999999,3.1506
2023-02-14,241.847823,242.0025231,229.87919193,232.59160035,12812190,5816558282.02,0.006123,-1.9457
2023-02-15,233.6487177,235.659819,231.018816,231.3282162,7773387,3508461573.11,0.003715,-0.5432
2023-02-16,233.07632733,234.3706515,225.862146,228.5436144,10091069,4514542232.04,0.004823,-1.2037
2023-02-17,227.924814,227.924814,216.58014,216.67811673,21469551,9171648847.12,0.01026,-5.1918
2023-02-20,214.517472,217.54959396,209.53097211,216.82250349,16829872,6992852566.62,0.008043,0.0666
2023-02-21,215.28065916,217.86415083,212.454804,214.00696167,13184596,5490561030.88,0.006301,-1.2985
2023-02-22,210.907803,213.5377047,209.70629889,211.15016649,12363920,5069312343.65,0.005909,-1.3349
2023-02-23,211.42347,214.06884171,210.0827358,213.08907441,9537265,3922375682.17,0.0045579999999999996,0.9183
2023-02-24,211.939137,212.3516706,208.33978134,209.0514018,9989388,4060495069.86,0.004774,-1.8948
2023-02-27,207.67457091,209.09265516,206.3183667,206.8340337,9220633,3705001333.87,0.0044069999999999995,-1.0607
