date,open,high,low,close,volume,amount,turnover,pct_change
2023-01-03,22.24937386,22.59576165,22.1527075,22.56353953,24445913.0,679846234.69,0.001482,1.412
2023-01-04,22.51520635,22.59576165,22.0721522,22.33798469,26179337.0,725701494.1,0.001587,-0.9996
2023-01-05,22.33798469,22.37826234,22.09631879,22.2332628,24695435.0,680735837.89,0.001498,-0.4688
2023-01-06,22.22520727,22.3138181,22.11242985,22.24937386,21111894.0,582250790.66,0.00128,0.0725
2023-01-09,22.37826234,22.43465105,22.1527075,22.3138181,21466013.0,595056271.09,0.0013020000000000002,0.2896
2023-01-10,22.24131833,22.32187363,21.95937478,22.10437432,20259195.0,556224439.83,0.0012280000000000001,-0.9386
2023-01-11,22.26548492,23.27242617,22.09631879,23.21603746,58238662.0,1655413193.7,0.003532,5.0292
2023-01-12,23.1193711,23.32075935,22.84548308,23.1999264,30072843.0,861980187.33,0.001824,-0.0694
2023-01-13,23.1999264,23.69131373,23.19187087,23.34492594,26378992.0,764278213.2,0.0016,0.625
2023-01-16,23.32075935,23.33687041,22.94214944,23.05492686,38342244.0,1099459838.91,0.0023250000000000002,-1.2422
2023-01-17,23.0388158,23.15964875,22.77298331,23.08714898,20951104.0,598476112.85,0.00127,0.1398
2023-01-18,23.0388158,23.41742571,22.95020497,22.96631603,19040559.0,547437049.08,0.001155,-0.5234
2023-01-19,23.06298239,23.24020405,22.78103884,23.00659368,19333752.0,550813102.73,0.001172,0.1754
2023-01-20,22.99853815,23.24020405,22.95020497,23.12742663,20270931.0,581583730.26,0.001229,0.5252
2023-01-30,23.15964875,23.18381534,22.58770612,22.60381718,39011204.0,1101222610.76,0.002366,-2.264
2023-01-31,22.78103884,22.99853815,22.7165946,22.86964967,26068112.0,740447823.77,0.001581,1.1761
2023-02-01,22.88576073,22.88576073,22.6360393,22.78103884,28240552.0,796747885.54,0.001712,-0.3875
2023-02-02,22.78103884,22.99048262,22.58770612,22.95020497,29619839.0,839113397.2,0.001796,0.7426
2023-02-03,22.7971499,22.91798285,22.67631695,22.75687225,24814669.0,701790936.34,0.001505,-0.8424
2023-02-06,22.66020589,22.78103884,22.57965059,22.65215036,21979318.0,618322531.8,0.001333,-0.4602
2023-02-07,22.65215036,22.81326096,22.61187271,22.67631695,17617857.0,496236470.74,0.0010680000000000002,0.1067
2023-02-08,22.70048354,22.73270566,22.4749287,22.48298423,18896837.0,530012121.76,0.0011459999999999999,-0.8526
2023-02-09,22.43465105,22.70048354,22.41853999,22.57965059,16329251.0,457538550.84,0.00099,0.43
2023-02-10,22.555484,22.57965059,22.25742939,22.3138181,20295148.0,563867951.01,0.001231,-1.1773
2023-02-13,22.29770704,22.3138181,21.95937478,22.09631879,32783927.0,897990536.06,0.001988,-0.9747
2023-02-14,22.1527075,22.22520727,21.95937478,22.16881856,18337971.0,503701605.39,0.001112,0.3281
2023-02-15,22.14465197,22.2332628,21.88687501,21.91909713,27663312.0,755238404.58,0.0016769999999999999,-1.1265
2023-02-16,21.9915969,22.0721522,21.55659828,21.6693757,30153837.0,818063658.21,0.001828,-1.1393
2023-02-17,21.62909805,21.92715266,21.60493146,21.77409759,26548324.0,718589878.86,0.00161,0.4833
2023-02-20,21.82243077,22.28965151,21.82243077,22.21715174,35975711.0,987603052.36,0.002182,2.0348
2023-02-21,22.19298515,22.52326188,22.08020773,22.46687317,33204286.0,923662560.27,0.002013,1.124
2023-02-22,22.40242893,22.61992824,22.29770704,22.44270658,28042907.0,782960152.73,0.0017000000000000001,-0.1076
2023-02-23,22.7971499,22.92603838,22.46687317,22.57159506,34836587.0,980907558.56,0.002112,0.5743
2023-02-24,22.49909529,22.555484,22.34604022,22.43465105,22107696.0,615619342.3,0.001341,-0.6067
2023-02-27,22.43465105,22.7165946,22.43465105,22.52326188,25809133.0,723212531.29,0.001565,0.395
2023-02-28,22.53937294,22.58770612,22.3943734,22.555484,18353068.0,512571736.84,0.001113,0.1431
2023-03-01,22.555484,22.70048354,22.4749287,22.60381718,22789283.0,640010104.12,0.001382,0.2143
2023-03-02,22.60381718,22.93409391,22.52326188,22.70048354,27093063.0,764121833.53,0.001643,0.4277
2023-03-03,22.7971499,22.97437156,22.62798377,22.92603838,33567430.0,952450381.7,0.002035,0.9936
2023-03-06,22.89381626,22.98242709,22.555484,22.66826142,32672959.0,920570916.47,0.001981,-1.1244
2023-03-07,22.61992824,23.98131281,22.61992824,23.25631511,78387766.0,2284645506.56,0.004753,2.5942
2023-03-08,23.1193711,23.15159322,22.78103884,22.94214944,28454472.0,810190200.27,0.001725,-1.3509
2023-03-09,22.97437156,23.39325912,22.86159414,22.99853815,25048490.0,716849463.91,0.0015190000000000002,0.2458
2023-03-10,22.92603838,22.92603838,22.61187271,22.65215036,25588309.0,721618916.57,0.001552,-1.5061
2023-03-13,22.61992824,23.42548124,22.61992824,23.37714806,37614860.0,1079845031.94,0.002281,3.2006
2023-03-14,23.361037,23.6832582,23.04687133,23.14353769,29209809.0,844089997.08,0.001771,-0.9993
2023-03-15,23.2804817,23.40937018,23.06298239,23.23214852,24491055.0,706613399.88,0.001485,0.3829
2023-03-16,22.8777052,23.0388158,22.555484,22.58770612,38784225.0,1096094807.1,0.002352,-2.7739
2023-03-17,22.74881672,23.2804817,22.68437248,23.01464921,32714387.0,934465099.16,0.001984,1.8902
2023-03-20,23.08714898,23.61881396,22.86964967,23.22409299,43821463.0,1266005304.84,0.002657,0.91
2023-03-21,23.30464829,23.34492594,22.85353861,22.98242709,27682247.0,790375005.33,0.001679,-1.0406
2023-03-22,23.0388158,23.361037,22.97437156,23.25631511,23402482.0,673626094.1,0.001419,1.1917
2023-03-23,23.2804817,23.72353585,23.21603746,23.66714714,41978031.0,1225943161.37,0.002546,1.7665
2023-03-24,23.75575797,23.7638135,23.08714898,23.34492594,39365989.0,1139537999.23,0.002387,-1.3615
2023-03-27,22.4749287,22.61992824,21.9915969,22.29770704,87835227.0,2431589188.92,0.005326,-4.4859
2023-03-28,22.29770704,22.35409575,21.9915969,22.05604114,46981270.0,1289541729.29,0.002849,-1.0838
2023-03-29,22.13659644,22.17687409,21.89493054,21.96743031,24936004.0,680795797.52,0.001512,-0.4018
2023-03-30,21.97548584,22.67631695,21.9110416,22.66020589,44305490.0,1230610347.93,0.002687,3.1536
2023-03-31,22.60381718,22.77298331,22.51520635,22.69242801,19698581.0,554505210.95,0.0011949999999999999,0.1422
2023-04-03,22.7971499,22.99853815,22.45881764,22.46687317,29088418.0,819131838.5,0.001764,-0.994
2023-04-04,22.4749287,22.78909437,22.40242893,22.72465013,22397803.0,629852625.71,0.001358,1.1474
