date,open,high,low,close,volume,amount,turnover,pct_change
2023-01-03,14.9046298,14.94236304,14.63106381,14.9046298,44506741,698978168.47,0.005254,0.0
2023-01-04,14.9046298,15.32912875,14.82916332,15.14046255,75904766,1217937117.81,0.008961,1.5823
2023-01-05,15.20649572,15.45176178,15.14989586,15.41402854,60480527,984167811.39,0.00714,1.8069
2023-01-06,15.35742868,15.59326143,15.29139551,15.5649615,58602269,960879788.74,0.006918,0.9792
2023-01-09,15.62156136,16.07436024,15.57439481,15.98946045,124926468,2115497524.85,0.014748,2.7273
2023-01-10,15.97059383,16.036627,15.8479608,15.92342728,49962524,844202170.16,0.005898,-0.413
2023-01-11,15.81022756,15.98002714,15.73476108,15.77249432,52223662,877760209.1,0.006165,-0.9479
2023-01-12,15.81022756,15.85739411,15.58382812,15.80079425,45683648,762576127.26,0.005393,0.1794
2023-01-13,15.81966087,16.05549362,15.72532777,16.05549362,62938419,1065540058.88,0.00743,1.6119
2023-01-16,16.09322686,16.33849292,15.85739411,16.05549362,96254900,1642009832.45,0.011363000000000002,0.0
2023-01-17,16.08379355,16.3196263,16.00832707,16.20642658,54500159,936372299.16,0.006434,0.9401
2023-01-18,16.2252932,16.44225933,16.05549362,16.1309601,52748595,906886069.47,0.006227,-0.4657
2023-01-19,16.04606031,16.19699327,15.92342728,16.14982672,54860072,933188327.45,0.006475999999999999,0.117
2023-01-20,16.14982672,16.40452609,16.1309601,16.29132637,46894470,809873044.3,0.005536,0.8762
2023-01-30,16.5082925,16.59319229,16.2252932,16.28189306,63191712,1095200781.06,0.00746,-0.0579
2023-01-31,16.25359313,16.59319229,16.15926003,16.52715912,81298017,1420220999.11,0.009597,1.5064
2023-02-01,16.54602574,16.57432567,15.95172721,16.25359313,108903362,1867927153.82,0.012856000000000001,-1.6553
2023-02-02,16.21585989,16.25359313,16.00832707,16.02719369,64991441,1108046892.27,0.007678000000000001,-1.3929
2023-02-03,15.9422939,15.95172721,15.55552819,15.71589446,94048256,1562341647.56,0.011111,-1.9423
2023-02-06,15.57439481,15.81022756,15.48949502,15.54609488,54819826,906462341.54,0.006477,-1.0804
2023-02-07,15.61212805,15.67816122,15.48006171,15.58382812,50150310,826838640.52,0.005925000000000001,0.2427
2023-02-08,15.57439481,15.62156136,15.49892833,15.51779495,31309579,515722285.92,0.003699,-0.4237
2023-02-09,15.55552819,15.69702784,15.4706284,15.69702784,54091654,895777618.2,0.006391,1.155
2023-02-10,15.69702784,15.77249432,15.52722826,15.59326143,48565083,804998383.75,0.005738,-0.6611
2023-02-13,15.71589446,17.14975758,15.67816122,17.14975758,358887905,6382823980.49,0.042401,9.9819
2023-02-14,17.0742911,17.42332357,16.89505821,17.30069054,202514352,3690551302.84,0.023926,0.8801
2023-02-15,17.31012385,17.3572904,17.06485779,17.19692413,88742477,1616414979.99,0.010484,-0.5998
2023-02-16,17.17805751,17.25352399,16.62149222,16.81015842,101349197,1827586641.59,0.011974,-2.249
2023-02-17,16.80072511,17.29125723,16.80072511,17.00825793,121090241,2197090571.45,0.014306000000000001,1.1785
2023-02-20,17.34785709,18.53645415,17.29125723,18.45155436,243321234,4690920234.4,0.028746999999999998,8.4859
2023-02-21,18.43268774,18.49872091,17.98932217,18.16855506,139161124,2686596274.5,0.016440999999999997,-1.5337
2023-02-22,18.3006214,18.61192063,18.1119552,18.24402154,88314359,1710579229.62,0.010434,0.4154
2023-02-23,18.24402154,18.3006214,17.923289,18.06478865,67569952,1292935884.17,0.007983,-0.9824
2023-02-24,18.16855506,18.2062883,17.34785709,17.60255646,130253600,2434156246.27,0.015389,-2.5587
2023-02-27,17.4516235,17.89498907,17.44219019,17.69688956,85760914,1610968580.2,0.010132,0.5359
2023-02-28,17.74405611,17.88555576,17.3572904,17.66858963,74031741,1376901110.26,0.008746,-0.1599
2023-03-01,17.69688956,18.2062883,17.51765667,18.17798837,118769180,2274368617.88,0.014032,2.8831
2023-03-02,18.12138851,18.34778795,18.06478865,18.2062883,78124780,1509226585.68,0.00923,0.1557
2023-03-03,18.2062883,18.32892133,18.04592203,18.19685499,51280821,989069442.25,0.006059,-0.0518
2023-03-06,17.923289,18.0176221,17.46105681,17.48935674,135659225,2529601538.51,0.016027,-3.888
2023-03-07,17.47992343,17.65915632,17.14975758,17.17805751,76677280,1413903513.79,0.009059000000000001,-1.7799
2023-03-08,17.0742911,17.40445695,16.979958,17.24409068,49976144,911860316.99,0.005904,0.3844
2023-03-09,17.24409068,17.32899047,16.80072511,16.93279145,63760409,1146793185.11,0.007533,-1.8053
2023-03-10,16.82902504,17.08372441,16.6969587,16.77242518,45222025,808611199.07,0.005343,-0.9471
2023-03-13,16.81959173,17.32899047,16.81959173,16.91392483,74343092,1344297693.47,0.008783,0.8436
2023-03-14,16.90449152,16.90449152,16.29132637,16.44225933,76972630,1344949875.67,0.009094,-2.7886
2023-03-15,16.54602574,16.66865877,16.43282602,16.55545905,59467630,1042859159.92,0.007026,0.6885
2023-03-16,16.48942588,16.67809208,16.33849292,16.38565947,51332074,897206767.8,0.006065,-1.0256
2023-03-17,16.57432567,16.76299187,16.40452609,16.47999257,70279212,1234467412.34,0.008303,0.5757
2023-03-20,16.47999257,16.94222476,16.14039341,16.24415982,83722156,1463981984.14,0.009891,-1.431
2023-03-21,16.24415982,16.36679285,16.11209348,16.3196263,50976382,877462745.13,0.006023,0.4646
2023-03-22,16.46112595,16.55545905,16.31019299,16.45169264,46556402,811473281.11,0.0055000000000000005,0.8092
2023-03-23,16.4139594,16.47055926,16.15926003,16.39509278,53671225,927842028.69,0.006341,-0.344
2023-03-24,16.39509278,16.39509278,15.70646115,15.98002714,106899259,1800657042.82,0.012629999999999999,-2.5316
2023-03-27,15.98002714,15.98002714,15.60269474,15.85739411,75636711,1267344162.96,0.008936,-0.7674
2023-03-28,15.87626073,16.05549362,15.77249432,15.81966087,50437103,851053456.55,0.005959,-0.238
2023-03-29,15.89512735,16.2252932,15.79136094,16.14039341,65222449,1108854444.47,0.007705999999999999,2.0274
2023-03-30,16.16869334,16.39509278,15.95172721,16.23472651,62532164,1071199731.62,0.0073880000000000005,0.5845
2023-03-31,16.28189306,16.36679285,16.07436024,16.12152679,54721999,939796464.5,0.006464999999999999,-0.6973
2023-04-03,16.15926003,16.83845835,16.15926003,16.68752539,103588415,1819771846.62,0.012238,3.5108
