date,open,high,low,close,volume,amount,turnover,pct_change
2023-01-03,198.150176,199.28246272,192.65681621,194.48793614,9238152,2030869788.16,0.006308,-1.9708
2023-01-04,194.61178,198.31824981,193.0195018,195.496379,6892060,1525301301.0,0.004706,0.5185
2023-01-05,197.94671823,209.55265711,197.48672675,207.51807941,13553908,3156912259.57,0.009255,6.1493
2023-01-06,207.51807941,208.95112979,204.01506737,207.50038743,10003539,2333063640.48,0.006831,-0.0085
2023-01-09,207.50038743,213.9844981,205.5808076,210.94147754,10608196,2523163702.84,0.0072440000000000004,1.6584
2023-01-10,210.93263155,214.04642003,209.12804959,211.419161,6772071,1620936729.28,0.004624,0.2265
2023-01-11,210.534562,211.92338243,208.39383242,209.649963,7299567,1733483566.33,0.004984,-0.8368
2023-01-12,210.83532566,213.87834622,208.4115244,209.34919934,5897121,1400864763.11,0.004027,-0.1435
2023-01-13,209.35804533,216.726755,209.0307437,216.1075357,12072178,2927826941.51,0.008243,3.2283
2023-01-16,218.25711127,228.21769601,217.611354,222.918948,12592279,3183135635.12,0.008598,3.1519
2023-01-17,222.92779399,225.67889688,218.04480751,220.27399699,9806406,2448756429.96,0.006696,-1.1865
2023-01-18,221.14975,224.3343064,216.94790475,218.0536535,7766295,1930105775.92,0.0053029999999999996,-1.008
2023-01-19,218.1421134,221.4151297,214.5152575,218.83210062,7325245,1806513612.97,0.0050019999999999995,0.357
2023-01-20,219.95554135,224.1573866,218.18634335,219.2036322,8019829,2003590391.58,0.005476,0.1698
2023-01-30,224.25469249,225.20121342,212.30376,220.46860877,9945203,2459782211.64,0.006791,0.5771
2023-01-31,220.265151,220.265151,207.95153292,209.649963,11300743,2710907684.93,0.007716,-4.9071
2023-02-01,209.2076635,212.23299208,206.83693818,210.95916952,10290565,2436424033.48,0.007027,0.6245
2023-02-02,212.33029797,214.06411201,208.03114683,211.43685298,7121257,1699521194.25,0.004863,0.2264
2023-02-03,208.765364,209.2961234,202.1308715,208.1461447,10920147,2541131073.33,0.007457,-1.5564
2023-02-06,203.45777,207.76576713,198.36247976,207.02270397,11208688,2588482867.87,0.007653999999999999,-0.5397
2023-02-07,208.77420999,210.7999417,205.05889419,206.0231071,6683255,1559169991.72,0.004563,-0.4828
2023-02-08,206.88116813,207.59769332,203.56392188,205.37734983,4824898,1120885002.49,0.003295,-0.3134
2023-02-09,204.77582251,214.5152575,203.7231497,213.69258043,11714427,2811496460.02,0.007999000000000001,4.0488
2023-02-10,213.81642429,219.40708997,212.48952579,218.495953,8919606,2190384393.95,0.006091,2.2478
2023-02-13,222.918948,235.28564202,220.37130288,230.5264994,15441549,4007305304.95,0.010544,5.5061
2023-02-14,229.6419004,230.880339,222.3881886,222.94548597,11272200,2874762378.57,0.007697000000000001,-3.2886
2023-02-15,223.803547,228.09385215,220.6189906,221.6805094,8850987,2238116154.17,0.006044000000000001,-0.5674
2023-02-16,222.034349,225.3958252,218.68171879,221.14975,10505653,2641993488.49,0.007174000000000001,-0.2394
2023-02-17,220.265151,227.85501042,220.25630501,222.3881886,14522887,3693803516.35,0.009917,0.56
2023-02-20,222.71549023,228.44769175,220.15899912,227.99654626,10052139,2559387028.68,0.006864,2.5219
2023-02-21,227.7842425,229.111141,222.2997287,225.06852357,6822068,1728700105.37,0.004658,-1.2842
2023-02-22,223.73277908,226.8996435,222.918948,223.25509562,5193205,1316412377.87,0.003546,-0.8057
2023-02-23,222.33511266,225.73197282,220.69860451,222.45895652,6020176,1516235275.13,0.004111,-0.3566
2023-02-24,220.3536109,221.93704311,215.25832066,219.9113114,8506948,2099915029.88,0.005809,-1.1452
2023-02-27,218.15980538,225.572745,217.611354,222.2112688,7131391,1795850099.72,0.004869,1.0459
2023-02-28,223.0958678,224.5112262,219.1151723,221.14975,4568297,1140249858.74,0.0031190000000000002,-0.4777
2023-03-01,221.7689693,226.36003811,218.78787067,225.82043272,7141967,1807044152.6,0.004877,2.112
2023-03-02,225.81158673,226.89079751,224.1573866,225.53736104,3895274,991738228.37,0.00266,-0.1254
2023-03-03,227.04117934,229.57113248,223.84777695,225.1304455,4813749,1231260902.59,0.003287,-0.1804
2023-03-06,223.82123898,228.226542,221.17628797,223.24624963,6508410,1643576961.86,0.004444,-0.8369
